isolate.code,genus,species,name,group,temperature,r,ln.r
656,_Emiliania,_huxleyi,M22,coccolithophores,27,1.044,0.043059489
656,_Emiliania,_huxleyi,M22,coccolithophores,28,0.981,-0.019182819
657,_Emiliania,_huxleyi,M23,coccolithophores,8,0.286,-1.251763468
657,_Emiliania,_huxleyi,M23,coccolithophores,15,1.18,0.165514438
657,_Emiliania,_huxleyi,M23,coccolithophores,18,1.342,0.294161039
657,_Emiliania,_huxleyi,M23,coccolithophores,22,1.536,0.429181635
657,_Emiliania,_huxleyi,M23,coccolithophores,26,1.476,0.389335726
657,_Emiliania,_huxleyi,M23,coccolithophores,27,1.035,0.034401427
657,_Emiliania,_huxleyi,M23,coccolithophores,28,0.823,-0.194799078
658,_Emiliania,_huxleyi,17,coccolithophores,8,0.606,-0.500875293
658,_Emiliania,_huxleyi,17,coccolithophores,15,1.244,0.218331994
658,_Emiliania,_huxleyi,17,coccolithophores,18,1.345,0.296394013
658,_Emiliania,_huxleyi,17,coccolithophores,22,1.592,0.464991087
658,_Emiliania,_huxleyi,17,coccolithophores,26,0.915,-0.088831214
658,_Emiliania,_huxleyi,17,coccolithophores,27,0.326,-1.120857898
659,_Emiliania,_huxleyi,41,coccolithophores,8,0.539,-0.618039708
659,_Emiliania,_huxleyi,41,coccolithophores,15,1.258,0.229523158
659,_Emiliania,_huxleyi,41,coccolithophores,18,1.369,0.314080546
659,_Emiliania,_huxleyi,41,coccolithophores,22,1.652,0.501986675
659,_Emiliania,_huxleyi,41,coccolithophores,26,1.505,0.408792898
659,_Emiliania,_huxleyi,41,coccolithophores,27,1.292,0.256191405
660,_Emiliania,_huxleyi,62,coccolithophores,8,0.52,-0.653926467
660,_Emiliania,_huxleyi,62,coccolithophores,15,1.241,0.215917506
660,_Emiliania,_huxleyi,62,coccolithophores,18,1.338,0.291175962
660,_Emiliania,_huxleyi,62,coccolithophores,22,1.611,0.476855104
660,_Emiliania,_huxleyi,62,coccolithophores,26,1.249,0.222343231
660,_Emiliania,_huxleyi,62,coccolithophores,27,1.116,0.109750864
661,_Emiliania,_huxleyi,63,coccolithophores,8,0.594,-0.52087596
661,_Emiliania,_huxleyi,63,coccolithophores,15,1.245,0.21913553
661,_Emiliania,_huxleyi,63,coccolithophores,18,1.326,0.282166892
661,_Emiliania,_huxleyi,63,coccolithophores,22,1.459,0.37775127
661,_Emiliania,_huxleyi,63,coccolithophores,26,1.295,0.258510695
661,_Emiliania,_huxleyi,63,coccolithophores,27,1.068,0.065787741
662,_Emiliania,_huxleyi,85,coccolithophores,8,0.555,-0.588787165
662,_Emiliania,_huxleyi,85,coccolithophores,15,1.192,0.175632569
662,_Emiliania,_huxleyi,85,coccolithophores,18,1.336,0.289680075
662,_Emiliania,_huxleyi,85,coccolithophores,22,1.573,0.452984624
662,_Emiliania,_huxleyi,85,coccolithophores,26,1.26,0.231111721
662,_Emiliania,_huxleyi,85,coccolithophores,28,0.011,-4.509860006
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.069314718,-2.669098014
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.138629436,-1.975950834
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.159423852,-1.836188888
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.164275882,-1.806208057
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.202398977,-1.597514396
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,27,0.21140989,-1.553956423
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,27,0.213489332,-1.544168415
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,24,0.230818011,-1.46612571
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,24,0.241215219,-1.422065719
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.246760396,-1.39933747
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.250226132,-1.385390242
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,24,0.254385015,-1.368906353
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,24,0.259237046,-1.3500124
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.261316487,-1.342023012
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,27,0.264089076,-1.331468824
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,27,0.269634253,-1.310688857
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.279338314,-1.275331637
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,24,0.290428669,-1.236397278
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,27,0.295280699,-1.219828853
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.303598465,-1.192049289
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,18,0.48,-0.733969175
116,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.83,-0.186329578
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.188096758,-1.670798778
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.188942881,-1.666310527
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.216239536,-1.531368523
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.218777904,-1.519698201
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.224148944,-1.49544452
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.227128767,-1.482238167
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.230071803,-1.469363832
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.234854235,-1.448790234
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.261856586,-1.339958307
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.289300393,-1.240289709
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.312108918,-1.164403056
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.316928139,-1.149080222
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.325941185,-1.121038328
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.326345852,-1.119797564
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.334586352,-1.09486028
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.351876685,-1.044474491
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.357836332,-1.02767957
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.358130636,-1.026857454
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.371889327,-0.989158977
554,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.381123101,-0.964632856
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.154766881,-1.865835288
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.169482059,-1.775008204
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.190377611,-1.658745753
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.224663975,-1.493149438
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.232242291,-1.459974095
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.233014838,-1.456653145
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.262481981,-1.337572843
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.278043282,-1.279978487
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.279367648,-1.27522663
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.28183244,-1.266442569
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.287129904,-1.247820538
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.290919062,-1.234710188
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.308871579,-1.17482969
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.309423398,-1.17304472
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.31707529,-1.148616025
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.33462314,-1.094750336
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.347646072,-1.056570351
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.359896457,-1.021938908
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.362876281,-1.013693327
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.363501676,-1.011971371
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.411693883,-0.887475208
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.437739747,-0.82613073
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.460621848,-0.775177859
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.477470727,-0.739252426
555,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.516318796,-0.661030883
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.062355565,-2.774902357
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.066806907,-2.705948806
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.073502312,-2.610438417
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.074054132,-2.60295894
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.130781141,-2.034230032
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.145533107,-1.927351679
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.147409292,-1.914542262
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.180518442,-1.711922335
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.193283858,-1.643595404
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.195270407,-1.633369978
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.206527518,-1.577321616
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.211309951,-1.554429261
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.21885148,-1.519361953
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.234670296,-1.449573746
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.254572573,-1.368169325
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.287718511,-1.245772669
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.324763971,-1.124656604
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.330944345,-1.10580506
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.333924169,-1.096841351
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.336499325,-1.089159136
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.337639751,-1.085775777
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.342201456,-1.072355663
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.347462132,-1.057099593
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.355592268,-1.033970519
556,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.355849783,-1.033246595
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.064121387,-2.74697732
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.065225025,-2.729912065
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.08553197,-2.458865055
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.108119768,-2.224515703
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,33,0.129309624,-2.045545564
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.268110537,-1.316355932
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.273481577,-1.29652102
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.275872793,-1.287815414
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.283193594,-1.261624537
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.28701954,-1.248204982
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.287865663,-1.245261356
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,15,0.290587971,-1.235848922
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.291029426,-1.234330897
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.291434093,-1.232941395
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.294450705,-1.222643675
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.303647691,-1.191887161
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.336572901,-1.088940508
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,20,0.346947101,-1.058582957
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.368284109,-0.998900603
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.379320492,-0.969373806
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.381049525,-0.964825925
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,30,0.406212479,-0.900878909
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.417543166,-0.873367348
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.421332324,-0.864333389
557,Akashiwo,sanguinea,Akashiwo sanguinea,dinoflagellates,25,0.421700203,-0.863460637
25,Alexandrium,minutum,Alexandrium minutum,dinoflagellates,12,0.10327893,-2.270321893
25,Alexandrium,minutum,Alexandrium minutum,dinoflagellates,16,0.266861665,-1.321024863
25,Alexandrium,minutum,Alexandrium minutum,dinoflagellates,25,0.289042374,-1.241181979
25,Alexandrium,minutum,Alexandrium minutum,dinoflagellates,20,0.301519024,-1.198922167
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,5.5,0.073,-2.617295838
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,8.5,0.095,-2.353878387
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,24.5,0.135,-2.002480501
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,10.5,0.189,-1.666008264
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,8.5,0.197,-1.62455155
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,10.5,0.254,-1.370421012
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,13,0.271,-1.305636458
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,16,0.277,-1.283737773
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,22.5,0.278,-1.280134165
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,18,0.317,-1.148853505
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,20,0.319,-1.142564176
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,13,0.357,-1.030019497
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,16,0.359,-1.02443289
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,18,0.383,-0.95972029
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,20,0.417,-0.874669057
219,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,22.5,0.438,-0.825536369
233,Alexandrium,fundyense,Alexandrium fundyense,dinoflagellates,5,0.098,-2.3227878
233,Alexandrium,fundyense,Alexandrium fundyense,dinoflagellates,10,0.15,-1.897119985
233,Alexandrium,fundyense,Alexandrium fundyense,dinoflagellates,20,0.291,-1.234432012
233,Alexandrium,fundyense,Alexandrium fundyense,dinoflagellates,15,0.462,-0.772190388
239,Alexandrium,fundyense,Alexandrium fundyense,dinoflagellates,5,0.083,-2.488914671
239,Alexandrium,fundyense,Alexandrium fundyense,dinoflagellates,10,0.124,-2.087473713
239,Alexandrium,fundyense,Alexandrium fundyense,dinoflagellates,20,0.15,-1.897119985
239,Alexandrium,fundyense,Alexandrium fundyense,dinoflagellates,15,0.28,-1.272965676
320,Alexandrium,osterfeldii,Alexandrium osterfeldii,dinoflagellates,11.4,0.055451774,-2.892241573
320,Alexandrium,osterfeldii,Alexandrium osterfeldii,dinoflagellates,11.3,0.062383246,-2.774458533
320,Alexandrium,osterfeldii,Alexandrium osterfeldii,dinoflagellates,23.7,0.145560908,-1.927160668
320,Alexandrium,osterfeldii,Alexandrium osterfeldii,dinoflagellates,16.3,0.15249238,-1.880640651
320,Alexandrium,osterfeldii,Alexandrium osterfeldii,dinoflagellates,16.4,0.159423852,-1.836188888
320,Alexandrium,osterfeldii,Alexandrium osterfeldii,dinoflagellates,23.5,0.159423852,-1.836188888
320,Alexandrium,osterfeldii,Alexandrium osterfeldii,dinoflagellates,20.6,0.214875626,-1.537695902
320,Alexandrium,osterfeldii,Alexandrium osterfeldii,dinoflagellates,20.3,0.221807098,-1.505947203
367,Alexandrium,monilatum,Alexandrium monilatum,dinoflagellates,20,0.255,-1.366491734
367,Alexandrium,monilatum,Alexandrium monilatum,dinoflagellates,20,0.263,-1.335601247
367,Alexandrium,monilatum,Alexandrium monilatum,dinoflagellates,20,0.336,-1.090644119
367,Alexandrium,monilatum,Alexandrium monilatum,dinoflagellates,31,0.57,-0.562118918
367,Alexandrium,monilatum,Alexandrium monilatum,dinoflagellates,25,0.599,-0.512493681
367,Alexandrium,monilatum,Alexandrium monilatum,dinoflagellates,25,0.643,-0.441610555
367,Alexandrium,monilatum,Alexandrium monilatum,dinoflagellates,31,0.653,-0.42617815
402,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,5,0.145560908,-1.927160668
402,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,10,0.2703274,-1.308121462
402,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,15,0.402025365,-0.911240095
402,Alexandrium,tamarense,Alexandrium tamarense,dinoflagellates,20,0.42281978,-0.860809243
476,Alexandrium,catenella,Alexandrium catenella,dinoflagellates,16,0.069314718,-2.669098014
476,Alexandrium,catenella,Alexandrium catenella,dinoflagellates,12,0.07624619,-2.573787832
476,Alexandrium,catenella,Alexandrium catenella,dinoflagellates,10,0.124766493,-2.081311345
476,Alexandrium,catenella,Alexandrium catenella,dinoflagellates,14,0.207944154,-1.570485726
90,Amphiprora,,Amphiprora ,diatoms,14,0.138629436,-1.975950834
90,Amphiprora,,Amphiprora ,diatoms,17,0.34657359,-1.059660102
90,Amphiprora,,Amphiprora ,diatoms,21,0.415888308,-0.877338545
90,Amphiprora,,Amphiprora ,diatoms,31,0.693147181,-0.36651292
90,Amphiprora,,Amphiprora ,diatoms,28,0.901091335,-0.104148656
51,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,8,0.07624619,-2.573787832
51,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,11,0.492134498,-0.70900323
51,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,12.5,0.554517744,-0.589656473
51,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,14.5,0.824845145,-0.192559613
51,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,17,1.15062432,0.140304682
51,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,24,1.157555792,0.146310706
51,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,34,1.240733453,0.215702699
51,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,21,1.275390812,0.243252651
51,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,27,1.351637002,0.301316452
51,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,31,1.642758818,0.496377035
210,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,0,0.298053288,-1.21048299
210,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,5,0.658489822,-0.417806214
210,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,10,1.109035489,0.103490709
210,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,15,1.538786741,0.430994275
210,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,20,1.892291803,0.637788689
210,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,28,1.92001769,0.6523344
210,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,25,1.989332408,0.687799109
220,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,14.2,0.325779175,-1.121535504
220,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,1,0.374299478,-0.982699059
220,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,4.5,0.547586273,-0.602235253
220,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,20.3,0.762461899,-0.27120274
220,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,25.7,0.852571032,-0.159498751
220,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,7,0.887228391,-0.119652843
220,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,11.5,0.887228391,-0.119652843
220,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,22,0.956543109,-0.044429422
220,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,9,1.046652243,0.045596731
220,Asterionellopsis,glacialis,Asterionellopsis glacialis,diatoms,17,1.275390812,0.243252651
138,Biceratium,furca,Biceratium furca,dinoflagellates,12,0.034,-3.381394754
138,Biceratium,furca,Biceratium furca,dinoflagellates,14,0.208,-1.570217199
138,Biceratium,furca,Biceratium furca,dinoflagellates,16,0.227,-1.482805262
