"","isolate.code","source","isolation.latitude","isolation.longitude","habitat","name","speciesname","former.name.1","former.name.2","strain","clone","species","genus","family","order","class","phylum","kingdom","domain","comment","group","mu.rsqrlist","mu.wlist","mu.alist","mu.blist","mu.c.opt.list","mu.c.opt.val.list","mu.g.opt.list","mu.g.opt.val.list","mu.n","tmin","tmax","minqual","maxqual","lowerbound","upperbound","growth.change.inc","growth.change.dec"
"11",25,"Port River, Australia",-34.8,138.51,"estuarine","Alexandrium minutum","Alexandrium minutum","","","","","minutum","Alexandrium","Gonyaulacaceae","Gonyaulacales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.997451269",59.91049198,2.772977743,-0.078437666,40.47773198,0.115896574,20.67170892,0.308419717,4,10.52248599,70.43297797,"good","bad",11.34548599,47.74470892,0.02645613078863,0.00911372118346692
"12",26,"South Atlantic, off South Africa",-34.28,17.18,"marine","Calcidiscus leptoporus strain NS10-2","Calcidiscus leptoporus","","","NS10-2","","leptoporus","Calcidiscus","Calcidiscaceae","Coccolithales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.662141489",18.39921116,0.449398741,-0.00630656,15.73266197,0.406950508,15.46532963,0.407292963,6,6.533056387,24.93226755,"good","good",7.453056387,23.90532963,0.040666906946124,0.0386059680568721
"13",30,"Indian Ocean, off S. Africa",-29.82,31.02,"marine","Emiliania huxleyi strain S. Africa","Emiliania huxleyi","Coccolithus huxleyi","","S. Africa","","huxleyi","Emiliania","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.944552532",22.78359671,0.221862391,0.062049227,19.96339796,0.765684912,23.58273862,0.861727998,8,8.571599607,31.35519631,"good","good",11.071599607,30.67573862,0.055101489775126,0.0971919354856901
"14",32,"South Atlantic, off Namibia",-25,12,"marine","Coccolithus pelagicus ssp. braarudii","Coccolithus pelagicus","Coccolithus braarudii","","N476-2","","pelagicus","Coccolithus","Coccolithaceae","Coccolithales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.999998604",24.35257567,0.306056363,0.015830109,15.28252393,0.389823197,16.44662243,0.393444101,4,3.106236092,27.45881176,"good","bad",4.659236092,26.37962243,0.0267027203295523,0.0316878365851203
"15",33,"South Atlantic, off Namibia",-23,14,"marine","Calcidiscus leptoporus strain N482-1","Calcidiscus leptoporus","","","N482-1","","leptoporus","Calcidiscus","Calcidiscaceae","Coccolithales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.924121581",18.20218315,0.142703247,0.06891395,15.88693606,0.426494213,18.50424672,0.468550345,6,6.785844489,24.98802763,"good","good",8.620844489,24.41424672,0.0379262390864035,0.0634247505922166
"16",35,"Innisfail, Queensland, Australia",-17.52,146.03,"estuarine","Chaetoceros sp. strain CS256","Chaetoceros ","","","CS256","","","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.672788442",31.46064235,4.071131955,-0.048601079,34.73956116,0.752421142,29.41497705,0.862976378,5,19.00923998,50.46988234,"bad","bad",19.91323998,46.79997705,0.0726584094375493,0.0397113087374173
"17",40,"Darwin Harbour, Northern Territory, Australia",-12.48,130.8,"estuarine","Cylindrotheca closterium strain NT-6","Cylindrotheca closterium","Nitzschia closterium","","NT-6","","closterium","Cylindrotheca","Bacillariaceae","Bacillariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.987616816",21.68905433,2.368726056,-0.068578155,26.80931509,0.376747124,23.21859481,0.429103205,5,15.96478792,37.65384225,"good","good",16.59678792,35.17859481,0.0518412224491796,0.0287025555183946
"18",41,"Darwin Harbour, Northern Territory, Australia",-12.48,130.8,"estuarine","Nitzschia paleacea strain NT7","Nitzschia paleacea","Nitzschia frustulum","","NT7","","paleacea","Nitzschia","Bacillariaceae","Bacillariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.941712656",27.8055505,0.16239799,0.048600913,16.05672962,0.354398424,20.31395823,0.394992951,5,2.153954372,29.95950487,"bad","good",5.105954372,29.11195823,0.0207781615358925,0.0359166129574903
"19",45,NA,-11.54,-28.58,"marine","Pernambugia tuberosa strain GeoB*74","Pernambugia tuberosa","","","GeoB*74","","tuberosa","Pernambugia","","Peridiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.780770424",21.02794976,0.148948719,0.033923198,22.01882333,0.314363823,23.83795659,0.324364692,9,11.50484845,32.53279821,"good","good",13.09284845,31.72095659,0.0241497572866679,0.0329178933908411
"20",49,"Atlantic, off South America",5,-52,"marine","Skeletonema tropicum clone S. trop.","Skeletonema tropicum","","","","S. trop.","tropicum","Skeletonema","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.921807465",24.36362634,0.631231562,0.044536878,24.05133607,1.84243655,27.14348294,1.978230702,10,11.8695229,36.23314924,"good","good",14.1125229,35.41748294,0.121448040416215,0.191272004060914
"21",50,"Atlantic, off South America",5,-52,"marine","Skeletonema tropicum clone 21-L","Skeletonema tropicum","","","","21-L","tropicum","Skeletonema","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.766030034",28.5546871,0.01347544,0.181390506,19.78064676,0.487305057,29.57245325,1.52457721,7,5.50330321,34.05799031,"bad","good",17.35730321,33.69545325,0.0998482838119932,0.295819007518797
"22",51,"Suriname",6,-54,"marine","Asterionellopsis glacialis","Asterionellopsis glacialis","Asterionella japonica","","","","glacialis","Asterionellopsis","Fragilariaceae","Fragilariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.695898848",43.88771289,0.147851831,0.105424426,13.57776663,0.618711373,27.99883986,1.607666206,11,-8.366089814,35.52162308,"bad","good",8.001910186,34.91183986,0.064316521874467,0.186045561232461
"23",52,"Suriname",6,-54,"marine","Odontella mobiliensis","Odontella mobiliensis","Biddulphia mobiliensis","","","","mobiliensis","Odontella","Triceratiaceae","Triceratiales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.9553816",22.35542442,0.319581137,0.055409614,23.67111214,1.186328338,26.85191783,1.300390787,8,12.49339993,34.84882435,"good","good",14.72739993,34.14091783,0.0858023913346691,0.142723642420085
"24",53,"Suriname",6,-54,"marine","Chaetoceros didymus","Chaetoceros didymus","","","","","didymus","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.848328258",24.39965303,2.747470209,-0.027261212,23.17981661,1.460488066,21.20477853,1.500884271,9,10.9799901,35.37964312,"good","good",11.9409901,33.58277853,0.12961300075805,0.0970033460009695
"25",54,"Suriname",6,-54,"marine","Rhizosolenia setigera","Rhizosolenia setigera","","","","","setigera","Rhizosolenia","Rhizosoleniaceae","Rhizosoleniales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.957175396",23.66952479,0.786983118,0.019609913,22.67329341,1.22761447,24.02837696,1.244145426,9,10.83853101,34.5080558,"good","good",12.40953101,33.49437696,0.0856639588030686,0.10514645476442
"26",55,"Suriname",6,-54,"marine","Skeletonema tropicum clone fall","Skeletonema tropicum","","","","fall","tropicum","Skeletonema","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.711595965",25.99272668,0.806086448,0.030673174,23.26104114,1.645304835,25.75524262,1.710702059,10,10.2646778,36.25740448,"good","good",12.3166778,35.28624262,0.101838378244322,0.143590562081628
"27",56,"Suriname",6,-54,"marine","Skeletonema tropicum clone spring","Skeletonema tropicum","","","","spring","tropicum","Skeletonema","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.775882025",26.84506029,0.018255282,0.168999789,20.64278547,0.597695159,29.3942984,1.507962437,7,7.220255323,34.06531562,"bad","good",17.038255323,33.6862984,0.0976340032227293,0.281074079589935
"28",57,"Suriname",6,-54,"marine","Thalassionema nitzschioides","Thalassionema nitzschioides","","","","","nitzschioides","Thalassionema","Thalassionemataceae","Thalassionematales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.697162388",25.95545146,0.182157166,0.088686439,21.09766745,1.18316326,27.01490387,1.583932901,8,8.119941723,34.07539318,"good","good",12.583941723,33.48290387,0.0878074731187222,0.195910068150897
"29",58,"West coast of Sabah, Malaysia",6,116.08,"marine","Pyrodinium bahamense var. compressum strain PbSA01","Pyrodinium bahamense","","","PbSA01","","bahamense","Pyrodinium","Goniodomataceae","Gonyaulacales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.916253581",22.36420613,0.04237006,0.065869549,25.62562958,0.229153171,29.28929381,0.260384334,13,14.44352652,36.80773265,"bad","good",16.97652652,36.15329381,0.0169180057004066,0.0303478244755245
"30",59,NA,7.03,-48.23,"marine","Leonella granifera strain GeoB*38","Leonella granifera","","","GeoB*38","","granifera","Leonella","","","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.654569859",40.69632029,0.011403741,0.103536531,19.44344906,0.085374607,32.30954387,0.194156894,10,-0.904711083,39.79160921,"bad","bad",12.891288917,39.18354387,0.00799894303458011,0.0225960889147512
"31",61,NA,8.71,-52.5,"marine","Leonella granifera strain GeoB*39","Leonella granifera","","","GeoB*39","","granifera","Leonella","","","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.932670289",17.53359294,0.033302389,0.099780687,23.25701575,0.339077993,26.55024552,0.404525503,10,14.49021928,32.02381222,"good","good",16.78521928,31.55424552,0.0331407611660448,0.0646723426059153
"32",63,"West of Costa Rica",9.81,-89.24,"marine","Gymnodinium sp. isolate 581 (probably G. simplex)","Gymnodinium ","","","isolate 581","","","Gymnodinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.861427322",16.9637426,0.159365105,0.063421646,23.85117895,0.723339632,25.98823527,0.775748426,22,15.36930765,32.33305025,"good","good",16.92330765,31.76323527,0.0684615219023668,0.107462985419913
"33",64,NA,12.27,-58.33,"marine","Calciodinellum albatrosianum Geob*26/5","Calciodinellum albatrosianum","","","Geob*26/5","","albatrosianum","Calciodinellum","Peridiniaceae","Peridiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.416416456",56.20972955,0.145457024,-0.001186752,33.46256252,0.13979386,32.99526306,0.139832738,11,5.357697739,61.56742729,"bad","bad",8.232697739,58.50426306,0.00451755256169406,0.00438536165275001
"34",68,"Gulf of Tehuantepec, South of Mexico",14.67,-96.98,"marine","Gymnodinium sp. isolate 582 (probably G. simplex)","Gymnodinium ","","","isolate 582","","","Gymnodinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.980546265",18.06025946,0.621352851,0.024860111,23.99434668,1.128225395,24.99489219,1.142440571,24,14.96421695,33.02447641,"good","good",16.15421695,32.24589219,0.103380390296975,0.126045022314164
"35",74,"upwelling zone off Northwest Africa",22.5,-16.5,"marine","Stephanopyxis palmeriana","Stephanopyxis palmeriana","","","","","palmeriana","Stephanopyxis","Stephanopyxidaceae","Melosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.975103786",66.06220532,13.43785645,-0.098096697,42.95378932,0.198781506,18.58045017,0.98913339,5,9.922686658,75.98489197,"good","bad",10.618686658,43.00245017,0.0993883717856402,0.0324013885840635
"36",81,"off Xiamen, China",24.49,118.11,"marine","Skeletonema costatum","Skeletonema costatum","","","","","costatum","Skeletonema","Skeletonemaceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.968575873",25.81551663,0.065430687,0.083661643,21.30083818,0.388795883,26.93807172,0.504236723,8,8.393079864,34.20859649,"good","good",12.543079864,33.59507172,0.0280228972989563,0.0605962713534625
"37",82,"off Xiamen, China",24.49,118.11,"marine","Helicotheca tamesis","Helicotheca tamesis","Streptotheca thamesis","","","","tamesis","Helicotheca","Lithodesmiaceae","Lithodesmiales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.975535298",23.47428535,0.182809055,0.053489277,20.9643903,0.561051265,24.34244147,0.616485744,5,9.227247622,32.70153297,"good","good",11.595247622,31.96244147,0.0386899737370339,0.0647229127559055
"38",83,"just outside Gulf of Mexico",25.69,-79.98,"marine","Gephyrocapsa oceanica var. typica strain A4727","Gephyrocapsa oceanica","","","A4727","","oceanica","Gephyrocapsa","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.983342729",26.98120944,0.128291308,0.094777874,20.64204664,0.907517469,27.2136357,1.290361531,5,7.151441918,34.13265136,"bad","good",12.362441918,33.5566357,0.0695088381414267,0.162744635787482
"39",84,"just outside Gulf of Mexico",25.74,-80.05,"marine","Gephyrocapsa oceanica var. typica strain A4725","Gephyrocapsa oceanica","","","A4725","","oceanica","Gephyrocapsa","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.93611936",22.03015528,1.427741945,-0.006543183,25.62081536,1.207379673,25.22549418,1.208947629,5,14.60573772,36.635893,"good","bad",15.69273772,35.38949418,0.101456289926031,0.0951552639905549
"40",85,"Central Basin, Bah’a Concepti—n, Gulf of California, Mexico",26.65,-111.8,"estuarine","Gymnodinium catenatum strain GCCV-10","Gymnodinium catenatum","","","GCCV-10","","catenatum","Gymnodinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.856304607",25.63448618,0.056204628,0.058447969,19.92048095,0.180063711,24.18859962,0.205458029,15,7.103237861,32.73772404,"good","good",10.045237861,31.99359962,0.011621453654426,0.0210591189237668
"41",86,"Manasota, US",27.01,-82.42,"marine","Karenia brevis strain MAN","Karenia brevis","","","MAN","","brevis","Karenia","Kareniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.859926995",16.58110467,0.323585425,-0.018779404,21.27623863,0.217002324,20.63421151,0.218317367,8,12.9856863,29.56679097,"good","good",13.7446863,28.54821151,0.0253506429363947,0.0220689782158201
"42",87,"Baja California upwelling area",27.5,-115,"marine","Thalassiosira rotula clone C8","Thalassiosira rotula","","","","C8","rotula","Thalassiosira","Thalassiosiraceae","Thalassiosirales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.915493763",32.56416405,0.660099336,0.038421345,17.38093936,1.287154688,22.05376417,1.413424517,21,1.098857339,33.66302139,"good","good",4.375857339,32.63576417,0.0639634332508831,0.1068550003402
"43",89,"Sargasso Sea",28.5,-67.39,"marine","Synechococcus strain WH8103","Synechococcus ","","","WH8103","","","Synechococcus","Synechococcaceae","Synechococcales","Cyanophyceae","Cyanobacteria","Bacteria","Prokaryota","","cyanobacteria","0.989558406",22.42460755,0.161501269,0.062462097,23.23402202,0.689356623,26.77017664,0.774228835,11,12.02171824,34.44632579,"good","good",14.46571824,33.77417664,0.0503381008626922,0.0884327624214734
"44",90,"Bushehr, Persian Gulf",28.9,50.75,"marine","Amphiprora sp.","Amphiprora ","","","","","","Amphiprora","Amphipleuraceae","Naviculales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.975634038",24.35435198,0.041411135,0.118985019,21.81651342,0.555233132,28.20807009,0.860587553,7,9.639337432,33.99368941,"good","good",15.062337432,33.51507009,0.0523721317260338,0.129728668249482
"45",91,"Bushehr, Persian Gulf",28.9,50.75,"marine","Chaetoceros lorenzianus clone Bushehr","Chaetoceros lorenzianus","","","","Bushehr","lorenzianus","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.900894826",25.35282471,0.953861367,0.014296827,23.85779972,1.341587874,24.99943272,1.352604259,8,11.18138737,36.53421208,"good","good",12.77938737,35.39943272,0.0885498683685327,0.104046481461538
"46",93,"Bushehr, Persian Gulf",28.9,50.75,"marine","Leptocylindrus danicus","Leptocylindrus danicus","","","","","danicus","Leptocylindrus","Leptocylindraceae","Leptocylindrales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.943609006",20.72286261,0.138305074,0.089480321,23.54741007,1.137390322,27.61186782,1.384498852,7,13.18597877,33.90884138,"good","good",16.04897877,33.37086782,0.0957891299320216,0.192324896961278
"47",94,"Sargasso Sea (120m depth)",28.98,-64.35,"marine","Prochlorococcus marinus strain SS120","Prochlorococcus marinus","","","SS120","","marinus","Prochlorococcus","Synechococcaceae","Synechococcales","Cyanophyceae","Cyanobacteria","Bacteria","Prokaryota","","cyanobacteria","0.983593046",15.96496094,0.045059774,0.119786981,20.05839129,0.498061746,23.26107388,0.613298504,8,12.07591082,28.04087176,"good","good",14.34691082,27.63407388,0.0550403666499679,0.112197302355362
"48",97,"Apalachicola, US",29.71,-84.98,"marine","Karenia brevis strain APA","Karenia brevis","","","APA","","brevis","Karenia","Kareniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.957952841",20.24796801,0.091422959,0.050912186,21.29092612,0.270281558,23.74853107,0.288256498,8,11.16694211,31.41491012,"good","good",12.97794211,30.72353107,0.021410639590502,0.0330616771899642
"49",106,"Sargasso Sea",32,-62,"marine","Emiliania huxleyi strain M181, Bigelow 1A1","Emiliania huxleyi","Coccolithus huxleyi","","M181, Bigelow 1A1","","huxleyi","Emiliania","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.993502916",29.55871225,0.078803621,0.121795933,15.56499927,0.524640126,24.2610306,0.989198499,7,0.785643147,30.3443554,"bad","good",9.226643147,29.8470306,0.0526365840759339,0.14166824189044
"50",107,"Sargasso Sea",32.17,-64.5,"marine","Emiliania huxleyi strain CCMP373","Emiliania huxleyi","Coccolithus huxleyi","","CCMP373, BT-6","","huxleyi","Emiliania","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.999969406",28.971106,0.191375061,0.089071506,14.15540184,0.675246714,21.25522057,0.965583174,4,-0.330151162,28.64095484,"bad","good",5.321848838,28.02622057,0.0484810467108231,0.114084557554276
"51",109,"near Bermuda",32.3,-64.7,"marine","Chaetoceros lorenzianus clone Bermuda","Chaetoceros lorenzianus","","","","Bermuda","lorenzianus","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.697842826",45.69249409,0.037548628,0.149988078,13.09753248,0.267765226,30.22984683,1.53062378,9,-9.748714562,35.94377953,"bad","good",14.000285438,35.48484683,0.075448682464308,0.233015989343482
"52",110,"Bermuda",32.3,-64.7,"marine","Men. 5 (Diatom)"," ","","","","","","","","","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","","diatoms","0.851317921",26.94015327,0.575222434,0.040576386,23.8604586,1.514632292,27.30088507,1.627934522,10,10.39038196,37.33053523,"good","good",12.88138196,36.43088507,0.0903184809951471,0.142644865016429
"53",116,"Scripps Institute of Oceanography pier, California, US",32.87,-117.26,"marine","Akashiwo sanguinea","Akashiwo sanguinea","Gymnodinium splendens","Gymodinium sanguineum","","","sanguinea","Akashiwo","","","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.942888607",20.53195237,0.054703127,0.076643412,19.82706889,0.250018541,23.38200038,0.288952985,18,9.5610927,30.09304507,"good","good",12.0130927,29.51200038,0.0203328582223125,0.0377100143556281
"54",117,"Goto Islands, Japan",32.93,128.26,"marine","Cochlodinium polykrikoides strain 02B1","Cochlodinium polykrikoides","","","02B1","","polykrikoides","Cochlodinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.984475444",25.15546197,0.050819957,0.09339369,22.37753601,0.41084244,28.18608002,0.556029224,18,9.799805023,34.95526699,"good","good",14.222805023,34.38808002,0.0318566653808344,0.0717225700096743
"55",118,"Goto Islands, Japan",32.93,128.26,"marine","Cochlodinium polykrikoides strain 02B2","Cochlodinium polykrikoides","","","02B2","","polykrikoides","Cochlodinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae","Dinophyta","Chromista","Eukaryota","","dinoflagellates","0.95876481",25.45980252,0.046729971,0.093939385,22.43093966,0.384342625,28.38039593,0.525303994,18,9.701038403,35.16084093,"good","bad",14.266038403,34.59339593,0.0297741639600738,0.0676393361017222
